LineRef;LineName
STIF:Line::C00043:;6124
STIF:Line::C01739:;J
STIF:Line::C00087:;2
STIF:Line::C01163:;137
STIF:Line::C00548:;12 (Future 451)
STIF:Line::C01527:;414
STIF:Line::C01538:;464
STIF:Line::C00782:;57
STIF:Line::C00156:;R4
STIF:Line::C01222:;207
STIF:Line::C01153:;124
STIF:Line::C01322:;399
STIF:Line::C00529:;39-203
STIF:Line::C00820:;7A
STIF:Line::C00916:;21
STIF:Line::C01658:;415
STIF:Line::C01249:;261
STIF:Line::C01017:;4346
STIF:Line::C02025:;4330
STIF:Line::C02026:;4331
STIF:Line::C02239:;6246
STIF:Line::C01523:;402
STIF:Line::C00536:;449
STIF:Line::C02368:;TER Centre - Val de Loire
STIF:Line::C02665:;Soirée Mantes-la-Ville
STIF:Line::C02499:;Z
STIF:Line::C02443:;38
STIF:Line::C01809:;380
STIF:Line::C02448:;403
STIF:Line::C00161:;R3 Nord
STIF:Line::C01591:;637
STIF:Line::C01683:;T4
STIF:Line::C01850:;B
STIF:Line::C01396:;N42
STIF:Line::C01086:;43
STIF:Line::C01808:;254
STIF:Line::C01537:;463
STIF:Line::C01406:;N43
STIF:Line::C02000:;259
STIF:Line::C00935:;50
STIF:Line::C01088:;47
STIF:Line::C00655:;Express 100 Les Mureaux St Quentin
STIF:Line::C02600:;N146
STIF:Line::C01850:;B
STIF:Line::C01201:;180
STIF:Line::C00725:;1
STIF:Line::C01276:;306
STIF:Line::C00774:;48
STIF:Line::C00541:;454
STIF:Line::C00540:;453
STIF:Line::C00538:;451
STIF:Line::C01096:;60
STIF:Line::C01605:;K
STIF:Line::C00264:;9501
STIF:Line::C00241:;R106
STIF:Line::C00237:;R112
STIF:Line::C02441:;23
STIF:Line::C00149:;10
STIF:Line::C00535:;448
STIF:Line::C00542:;455
STIF:Line::C01955:;79
STIF:Line::C00959:;I
STIF:Line::C00954:;A
STIF:Line::C00953:;B
STIF:Line::C01527:;414
STIF:Line::C00174:;19
STIF:Line::C01676:;431
STIF:Line::C00031:;A
STIF:Line::C01169:;144
STIF:Line::C01073:;21
STIF:Line::C00817:;202
STIF:Line::C01270:;297
STIF:Line::C01418:;N14
STIF:Line::C01482:;6227
STIF:Line::C01484:;6231
STIF:Line::C00926:;35
STIF:Line::C00947:;Express 62
STIF:Line::C00924:;34
STIF:Line::C00922:;32
STIF:Line::C01151:;122
STIF:Line::C00576:;H
STIF:Line::C00820:;7A
STIF:Line::C01084:;39
STIF:Line::C00921:;31S
STIF:Line::C02077:;31A
STIF:Line::C02252:;Ks
STIF:Line::C02069:;03A
STIF:Line::C01082:;32
STIF:Line::C01215:;195
STIF:Line::C01319:;394
STIF:Line::C01476:;6
STIF:Line::C00032:;D
STIF:Line::C00982:;3
STIF:Line::C00453:;3025 Scolaire
STIF:Line::C00213:;39
STIF:Line::C01785:;95-06
STIF:Line::C02589:;Soir Poissy
STIF:Line::C01157:;128
STIF:Line::C00763:;34
STIF:Line::C02529:;T12
STIF:Line::C00387:;312
STIF:Line::C02270:;324
STIF:Line::C02254:;40
STIF:Line::C01277:;308
STIF:Line::C01414:;N02
STIF:Line::C01416:;N16
STIF:Line::C01417:;N15
STIF:Line::C01394:;N51
STIF:Line::C00735:;17
STIF:Line::C01142:;113
STIF:Line::C01398:;N34
STIF:Line::C00359:;E
STIF:Line::C00926:;35
STIF:Line::C02559:;67
STIF:Line::C02192:;62B
STIF:Line::C01432:;Filéo Goussainville (sur réservation)
STIF:Line::C01616:;401
STIF:Line::C02632:;501
STIF:Line::C01166:;140
STIF:Line::C02129:;3
STIF:Line::C00452:;30-23
STIF:Line::C00443:;30-oct
STIF:Line::C01527:;414
STIF:Line::C01528:;415
STIF:Line::C01616:;401
STIF:Line::C00288:;87
STIF:Line::C02557:;65
STIF:Line::C00454:;76
STIF:Line::C02217:;424
STIF:Line::C00495:;11
STIF:Line::C01213:;192
STIF:Line::C02156:;19
STIF:Line::C01085:;42
STIF:Line::C00541:;454
STIF:Line::C00539:;452
STIF:Line::C00543:;456
STIF:Line::C01571:;Express 91-10
STIF:Line::C01392:;N24
STIF:Line::C01987:;45
STIF:Line::C01620:;405
STIF:Line::C01108:;73
STIF:Line::C01083:;38
STIF:Line::C01418:;N14
STIF:Line::C00422:;V
STIF:Line::C02168:;14.1
STIF:Line::C00756:;90
STIF:Line::C01074:;22
STIF:Line::C00223:;EX93 Bobigny
STIF:Line::C00308:;6
STIF:Line::C01746:;TER Hauts-de-France
STIF:Line::C02372:;TER Hauts-de-France
STIF:Line::C01119:;87
STIF:Line::C00669:;DM7S
STIF:Line::C00871:;33
STIF:Line::C02193:;63
STIF:Line::C02194:;61A
STIF:Line::C00574:;J1 (Future 427)
STIF:Line::C01300:;ROISSYBUS
STIF:Line::C01040:;10
STIF:Line::C02196:;29M
STIF:Line::C01494:;7 (ex SAMOIS)
STIF:Line::C00307:;1537
STIF:Line::C00662:;DM2A
