name;MonitoringRef
Alligator;STIF:StopPoint:Q:12583:
Allouettes;STIF:StopPoint:Q:424500:
Alma;STIF:StopPoint:Q:28743:
Alma - Baudin;STIF:StopPoint:Q:25947:
Alma - Marceau;STIF:StopPoint:Q:26178:
Alouette;STIF:StopPoint:Q:31199:
Alouetterie;STIF:StopPoint:Q:31381:
Alouettes;STIF:StopPoint:Q:463594:
Alpa;STIF:StopPoint:Q:12525:
Alpha Park;STIF:StopPoint:Q:5662:
Alphand;STIF:StopPoint:Q:25324:
Alphonse Allais;STIF:StopPoint:Q:7642:
Alsace;STIF:StopPoint:Q:421767:
Alsace - Lorraine;STIF:StopPoint:Q:420854:
Alsace Bretagne;STIF:StopPoint:Q:8624:
Alsace Lorraine;STIF:StopPoint:Q:15264:
Alsace-Lorraine;STIF:StopPoint:Q:427355:
Altrincham;STIF:StopPoint:Q:19609:
Altrincham - Lenine;STIF:StopPoint:Q:19098:
Ambassadeurs;STIF:StopPoint:Q:5290:
Amblaincourt;STIF:StopPoint:Q:31455:
Amblainvilliers;STIF:StopPoint:Q:40336:
Amboile Centre;STIF:StopPoint:Q:21281:
Ambroise Croizat;STIF:StopPoint:Q:3305:
Ambroise Jacquin;STIF:StopPoint:Q:426810:
Ambroise Pare;STIF:StopPoint:Q:14843:
Amedee Dunois;STIF:StopPoint:Q:21504:
Amedee Gordini;STIF:StopPoint:Q:490660:
Amelie;STIF:StopPoint:Q:14268:
Ami Louis;STIF:StopPoint:Q:17120:
Amiral Courbet;STIF:StopPoint:Q:23535:
Amiral Mouchez;STIF:StopPoint:Q:28017:
Amiral Mouchez - Charbonnel;STIF:StopPoint:Q:30101:
Ampere;STIF:StopPoint:Q:19398:
Ampere - Chartrel;STIF:StopPoint:Q:38429:
Ampere - Curie;STIF:StopPoint:Q:20345:
Ampere Sud;STIF:StopPoint:Q:29333:
Amponville;STIF:StopPoint:Q:7177:
Anatole France;STIF:StopPoint:Q:5213:
Anatole France - Paul Vaillant-Couturier;STIF:StopPoint:Q:24601:
Anatole France - Pierre Brossolette;STIF:StopPoint:Q:39684:
Anatole France Metro;STIF:StopPoint:Q:25827:
Anatole Lucas;STIF:StopPoint:Q:7505:
Anatole Sigonneau - Centre d'Affaires;STIF:StopPoint:Q:18811:
Ancel de Garlande;STIF:StopPoint:Q:20495:
Ancien Calvaire;STIF:StopPoint:Q:10781:
Ancien Cimetiere;STIF:StopPoint:Q:19213:
Ancienne ecole de Breteuil;STIF:StopPoint:Q:13558:
Ancienne Gare;STIF:StopPoint:Q:12058:
Ancienne Gare Militaire;STIF:StopPoint:Q:485916:
Ancienne Mairie;STIF:StopPoint:Q:2977:
Ancienne Mairie de le Blanc-Mesnil;STIF:StopPoint:Q:7956:
Ancienne Mairie du Blanc-Mesnil;STIF:StopPoint:Q:27686:
Ancienne Poste;STIF:StopPoint:Q:17152:
Anciennes Cristalleries;STIF:StopPoint:Q:30211:
Andes - Cap-Horn;STIF:StopPoint:Q:485868:
Andre Breton;STIF:StopPoint:Q:19583:
Andre Carrez;STIF:StopPoint:Q:39083:
Andre Chenier;STIF:StopPoint:Q:35186:
Andre Citroen;STIF:StopPoint:Q:21602:
Andre Citroen - Centre de Production;STIF:StopPoint:Q:40108:
Andre Citroen Visiteurs;STIF:StopPoint:Q:14546:
Andre Derain;STIF:StopPoint:Q:34537:
Andre Karman;STIF:StopPoint:Q:36330:
Andre Laurent;STIF:StopPoint:Q:27380:
Andre Le Notre;STIF:StopPoint:Q:15597:
Andre Malraux;STIF:StopPoint:Q:20674:
Andre Maurois;STIF:StopPoint:Q:26651:
Andre Morizet;STIF:StopPoint:Q:427194:
Andre Ohresser;STIF:StopPoint:Q:27550:
Andre Pardoux;STIF:StopPoint:Q:2542:
Andre Salel;STIF:StopPoint:Q:37023:
Andre Schock;STIF:StopPoint:Q:12942:
Andre Sigonney;STIF:StopPoint:Q:24898:
Andre Simon;STIF:StopPoint:Q:427490:
Andre Tessier;STIF:StopPoint:Q:37606:
Andrei Sakharov;STIF:StopPoint:Q:479719:
Andresy;STIF:StopPoint:Q:41149:
Andresy - Les Coutayes;STIF:StopPoint:Q:471414:
Anfa;STIF:StopPoint:Q:488009:
Angelique Compoint;STIF:StopPoint:Q:22753:
Angelique Compoint - Porte de Montmartre;STIF:StopPoint:Q:462443:
Angelus - Fabien;STIF:StopPoint:Q:22533:
